pair,frequency
umbanees-spirits,1
rum-linen,1
spirits-satins,3
rangoes-iron,0
pans-saccerguntes,0
diglings-iron,5
bafts-salemporis,6
pans-linen,0
akori-beads,0
saccerguntes-Welsh,0
longees-perpetuanoes,0
salemporis-beads,4
akori-linen,0
snaphances-carbines,1
tobacco-iron,5
rum-Welsh,0
says-bouges,5
pans-allejars,2
umbanees-snaphances,0
pautkaes-tobacco,1
tapseils-pautkaes,10
sheets-iron,0
umbanees-knives,3
fusils-pintadoes,0
niconees-carpets,1
ginghams-brandy,5
tapseils-spirits,6
Welsh-blankets,0
fusils-tobacco,0
platilloes-perpetuanoes,0
jugs-mahubetbanes,0
pautkaes-arms,0
pans-guns,7
longcloths-longees,7
longees-beads,4
boysadoes-knives,0
snaphances-ginghams,0
pintadoes-spirits,0
arms-brandy,6
blankets-perpetuanoes,0
saccerguntes-cauldees,0
Welsh-brawls,0
longcloths-chints,4
longees-akori,0
salemporis-chercolees,1
rum-cauldees,0
sheets-cauldees,0
cowries-satins,0
longees-plains,4
akori-silk,0
longcloths-arms,0
sheets-carbines,0
cauldees-tobacco,0
bars-pautkaes,24
muskets-carpets,2
says-pintadoes,0
clouts -lawns,0
says-knives,24
bouges-coral,6
rum-diglings,1
says-sheets,0
tapseils-longees,8
snaphances-brawls,0
tapseils-times,7
lawns-satins,0
Welsh-spirits,0
clouts -cauldees,0
sheets-umbanees,0
jugs-boysadoes,0
brandy-knives,9
iron-carpets,27
says-satins,16
arms-knives,3
longcloths-spirits,5
arms-mahubetbanes,0
bars-tapseils,31
longcloths-lawns,1
mahubetbanes-brawls,0
cowries-knives,1
akori-times,0
beads-iron,25
longcloths-brandy,9
pans-fusils,0
umbanees-rangoes,0
clouts -blankets,4
saccerguntes-carpets,0
clouts -bafts,3
allejars-tobacco,1
beads-carpets,3
guns-muskets,9
pintadoes-diglings,0
blankets-chercolees,2
photaes-rangoes,0
chints-rangoes,0
sletias-arms,1
bafts-longees,9
plains-iron,34
platilloes-chints,0
plains-ginghams,4
bafts-perpetuanoes,0
rum-salemporis,4
sletias-brawls,27
guns-diglings,0
blankets-allejars,4
plains-carpets,9
saccerguntes-boysadoes,0
times-iron,39
clouts -saccerguntes,0
rum-tobacco,6
clouts -chercolees,0
chints-beads,5
tapseils-bafts,16
umbanees-akori,0
plains-lawns,0
says-jugs,8
photaes-boysadoes,0
umbanees-plains,5
says-arms,14
beads-carbines,3
ginghams-beads,7
photaes-longcloths,0
salemporis-allejars,2
rum-chercolees,0
linen-iron,7
akori-lawns,0
says-photaes,0
snaphances-blankets,1
cowries-times,1
lawns-rangoes,0
says-carpets,18
lawns-spirits,0
sheets-coral,0
akori-pintadoes,0
diglings-cauldees,0
akori-spirits,0
times-carbines,0
plains-coral,8
arms-linen,0
niconees-Welsh,0
ginghams-guns,1
longees-boysadoes,0
chercolees-carpets,0
sletias-rum,19
platilloes-blankets,0
plains-boysadoes,0
Welsh-tobacco,0
longees-rum,6
bouges-longees,2
bars-sletias,53
bouges-jugs,0
boysadoes-platilloes,0
tapseils-rangoes,0
photaes-cauldees,0
saccerguntes-blankets,0
sletias-spirits,7
pans-perpetuanoes,0
pautkaes-diglings,0
boysadoes-rangoes,0
beads-cowries,1
salemporis-knives,1
snaphances-allejars,1
photaes-cowries,0
clouts -satins,0
cauldees-allejars,1
cauldees-silk,1
fusils-Welsh,0
coral-carbines,1
tapseils-saccerguntes,0
niconees-lawns,0
pans-beads,7
clouts -muskets,2
tapseils-ginghams,5
chints-carbines,0
chercolees-iron,4
sheets-salemporis,0
blankets-tobacco,0
Welsh-lawns,0
Welsh-brandy,0
clouts -carbines,2
rum-allejars,4
bafts-pintadoes,0
umbanees-pintadoes,0
satins-carpets,2
pautkaes-niconees,9
Welsh-iron,0
cowries-carbines,0
bouges-Welsh,0
